Region        Service        Service Description    Limit Description                                                 Limit Name                                         Scope    Availability Domain          Service Limit      Limit Available    Limit Used  % of Limit Used
------------  -------------  ---------------------  ----------------------------------------------------------------  -------------------------------------------------  -------  ---------------------  -------------------  -------------------  ------------  -----------------
us-ashburn-1  block-storage  Block Volume           Free Volume Size (GB)                                             total-free-storage-gb                              AD       iIhj:US-ASHBURN-AD-1                   200                  200             0  0.00
us-ashburn-1  block-storage  Block Volume           Free Volume Size (GB)                                             total-free-storage-gb                              AD       iIhj:US-ASHBURN-AD-2                   200                  200             0  0.00
us-ashburn-1  block-storage  Block Volume           Free Volume Size (GB)                                             total-free-storage-gb                              AD       iIhj:US-ASHBURN-AD-3                   200                  200             0  0.00
us-ashburn-1  block-storage  Block Volume           Volume Size (GB)                                                  total-storage-gb                                   AD       iIhj:US-ASHBURN-AD-1                 30720                30720             0  0.00
us-ashburn-1  block-storage  Block Volume           Volume Size (GB)                                                  total-storage-gb                                   AD       iIhj:US-ASHBURN-AD-2                 30720                30720             0  0.00
us-ashburn-1  block-storage  Block Volume           Volume Size (GB)                                                  total-storage-gb                                   AD       iIhj:US-ASHBURN-AD-3                 30720                30720             0  0.00
us-ashburn-1  block-storage  Block Volume           Volume Count                                                      volume-count                                       AD       iIhj:US-ASHBURN-AD-1                 10000                10000             0  0.00
us-ashburn-1  block-storage  Block Volume           Volume Count                                                      volume-count                                       AD       iIhj:US-ASHBURN-AD-2                 10000                10000             0  0.00
us-ashburn-1  block-storage  Block Volume           Volume Count                                                      volume-count                                       AD       iIhj:US-ASHBURN-AD-3                 10000                10000             0  0.00
us-ashburn-1  block-storage  Block Volume           Volume Group max volumes allowed                                  volumes-per-group                                  AD       iIhj:US-ASHBURN-AD-1                    32                                     n/a
us-ashburn-1  block-storage  Block Volume           Volume Group max volumes allowed                                  volumes-per-group                                  AD       iIhj:US-ASHBURN-AD-2                    32                                     n/a
us-ashburn-1  block-storage  Block Volume           Volume Group max volumes allowed                                  volumes-per-group                                  AD       iIhj:US-ASHBURN-AD-3                    32                                     n/a
us-ashburn-1  compute        Compute                BM.DenseIO1.36                                                    bm-dense-io1-36-count                              AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.DenseIO1.36                                                    bm-dense-io1-36-count                              AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.DenseIO1.36                                                    bm-dense-io1-36-count                              AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.DenseIO2.52                                                    bm-dense-io2-52-count                              AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.DenseIO2.52                                                    bm-dense-io2-52-count                              AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.DenseIO2.52                                                    bm-dense-io2-52-count                              AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.GPU2.2                                                         bm-gpu2-2-count                                    AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.GPU2.2                                                         bm-gpu2-2-count                                    AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.GPU2.2                                                         bm-gpu2-2-count                                    AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.GPU3.8                                                         bm-gpu3-8-count                                    AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.GPU3.8                                                         bm-gpu3-8-count                                    AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.GPU3.8                                                         bm-gpu3-8-count                                    AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.HPC2.36                                                        bm-hpc2-36-count                                   AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.HPC2.36                                                        bm-hpc2-36-count                                   AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.HPC2.36                                                        bm-hpc2-36-count                                   AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.Standard.B1.44                                                 bm-standard-b1-44-count                            AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.Standard.B1.44                                                 bm-standard-b1-44-count                            AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.Standard.B1.44                                                 bm-standard-b1-44-count                            AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.Standard.E2.64                                                 bm-standard-e2-64-count                            AD       iIhj:US-ASHBURN-AD-1                     1                    1             0  0.00
us-ashburn-1  compute        Compute                BM.Standard.E2.64                                                 bm-standard-e2-64-count                            AD       iIhj:US-ASHBURN-AD-2                     1                    1             0  0.00
us-ashburn-1  compute        Compute                BM.Standard.E2.64                                                 bm-standard-e2-64-count                            AD       iIhj:US-ASHBURN-AD-3                     1                    1             0  0.00
us-ashburn-1  compute        Compute                BM.Standard1.36                                                   bm-standard1-36-count                              AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.Standard1.36                                                   bm-standard1-36-count                              AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                BM.Standard1.36                                                   bm-standard1-36-count                              AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
